Transaction ID,Date,Time,Type,Name,Emoji,Category,Amount,Currency,Local amount,Local currency,Notes and #tags,Address,Receipt,Description,Category split,Money Out,Money In
Ingredients,01/01/2020 ,12:02:14,Card payment,,,Tips,17.62,GBP,17.62,GBP,,,,,,,
Fuel & Maintainence,01/01/2020 ,11:22:59,Card payment,,,Tips,22.99,GBP,22.99,GBP,,,,,,,
Wages,01/01/2020 ,16:25:07,Card payment,,,Wages,-21.12,GBP,-21.12,GBP,,,,,,,
Advertising,01/01/2020 ,15:07:27,Card payment,,,Fuel & Maintainence,-5.02,GBP,-5.02,GBP,,,,,,,
,01/01/2020 ,09:45:32,Card payment,,,Ingredients,-14.80,GBP,-14.80,GBP,,,,,,,
Deliveries,01/01/2020 ,12:19:03,Card payment,,,Advertising,-17.07,GBP,-17.07,GBP,,,,,,,
Tips,01/01/2020 ,11:49:06,Card payment,,,Wages,-6.24,GBP,-6.24,GBP,,,,,,,
,01/01/2020 ,11:51:18,Card payment,,,Deliveries,24.52,GBP,24.52,GBP,,,,,,,
,01/01/2020 ,14:20:21,Card payment,,,Fuel & Maintainence,-18.70,GBP,-18.70,GBP,,,,,,,
,02/01/2020 ,10:01:14,Card payment,,,Deliveries,29.16,GBP,29.16,GBP,,,,,,,
,02/01/2020 ,12:25:29,Card payment,,,Deliveries,29.39,GBP,29.39,GBP,,,,,,,
,02/01/2020 ,14:57:34,Card payment,,,Deliveries,21.57,GBP,21.57,GBP,,,,,,,
,02/01/2020 ,16:35:13,Card payment,,,Tips,12.75,GBP,12.75,GBP,,,,,,,
,02/01/2020 ,10:21:25,Card payment,,,Tips,24.50,GBP,24.50,GBP,,,,,,,
,02/01/2020 ,11:35:45,Card payment,,,Deliveries,6.25,GBP,6.25,GBP,,,,,,,
,02/01/2020 ,13:27:34,Card payment,,,Ingredients,-18.74,GBP,-18.74,GBP,,,,,,,
,02/01/2020 ,16:02:34,Card payment,,,Tips,17.50,GBP,17.50,GBP,,,,,,,
,02/01/2020 ,09:25:52,Card payment,,,Ingredients,-14.88,GBP,-14.88,GBP,,,,,,,
,02/01/2020 ,14:20:35,Card payment,,,Advertising,-11.21,GBP,-11.21,GBP,,,,,,,
,03/01/2020,10:11:57,Card payment,,,Ingredients,-26.89,GBP,-26.89,GBP,,,,,,,
,03/01/2020,15:46:22,Card payment,,,Tips,23.38,GBP,23.38,GBP,,,,,,,
,03/01/2020,14:28:53,Card payment,,,Tips,27.41,GBP,27.41,GBP,,,,,,,
,03/01/2020,14:27:25,Card payment,,,Tips,24.24,GBP,24.24,GBP,,,,,,,
,03/01/2020,12:34:45,Card payment,,,Wages,-23.98,GBP,-23.98,GBP,,,,,,,
,03/01/2020,15:35:15,Card payment,,,Advertising,-28.18,GBP,-28.18,GBP,,,,,,,
,03/01/2020,09:13:34,Card payment,,,Tips,8.29,GBP,8.29,GBP,,,,,,,
,03/01/2020,10:04:01,Card payment,,,Deliveries,17.41,GBP,17.41,GBP,,,,,,,
,03/01/2020,10:27:58,Card payment,,,Deliveries,12.69,GBP,12.69,GBP,,,,,,,
,03/01/2020,15:23:09,Card payment,,,Tips,24.84,GBP,24.84,GBP,,,,,,,
,04/01/2020,15:10:07,Card payment,,,Tips,20.62,GBP,20.62,GBP,,,,,,,
,04/01/2020,14:47:58,Card payment,,,Deliveries,7.38,GBP,7.38,GBP,,,,,,,
,04/01/2020,13:11:10,Card payment,,,Fuel & Maintainence,-5.49,GBP,-5.49,GBP,,,,,,,
,04/01/2020,14:14:39,Card payment,,,Deliveries,10.96,GBP,10.96,GBP,,,,,,,
,04/01/2020,10:07:30,Card payment,,,Tips,30.46,GBP,30.46,GBP,,,,,,,
,04/01/2020,14:19:30,Card payment,,,Wages,-21.79,GBP,-21.79,GBP,,,,,,,
,04/01/2020,12:06:21,Card payment,,,Deliveries,7.70,GBP,7.70,GBP,,,,,,,
,04/01/2020,10:20:19,Card payment,,,Advertising,-21.81,GBP,-21.81,GBP,,,,,,,
,04/01/2020,12:03:59,Card payment,,,Advertising,-18.53,GBP,-18.53,GBP,,,,,,,
,05/01/2020,12:53:57,Card payment,,,Deliveries,13.23,GBP,13.23,GBP,,,,,,,
,05/01/2020,15:04:01,Card payment,,,Tips,20.12,GBP,20.12,GBP,,,,,,,
,05/01/2020,12:32:53,Card payment,,,Deliveries,10.86,GBP,10.86,GBP,,,,,,,
,05/01/2020,11:13:09,Card payment,,,Tips,8.29,GBP,8.29,GBP,,,,,,,
,05/01/2020,13:40:31,Card payment,,,Deliveries,11.15,GBP,11.15,GBP,,,,,,,
,05/01/2020,15:59:00,Card payment,,,Tips,8.79,GBP,8.79,GBP,,,,,,,
,05/01/2020,12:59:26,Card payment,,,Wages,-8.88,GBP,-8.88,GBP,,,,,,,
,05/01/2020,12:16:02,Card payment,,,Tips,26.75,GBP,26.75,GBP,,,,,,,
,05/01/2020,10:43:51,Card payment,,,Tips,15.63,GBP,15.63,GBP,,,,,,,
,05/01/2020,09:19:38,Card payment,,,Deliveries,12.40,GBP,12.40,GBP,,,,,,,
,06/01/2020,15:33:49,Card payment,,,Ingredients,-30.11,GBP,-30.11,GBP,,,,,,,
,06/01/2020,11:35:04,Card payment,,,Deliveries,7.12,GBP,7.12,GBP,,,,,,,
,06/01/2020,13:30:11,Card payment,,,Advertising,-16.73,GBP,-16.73,GBP,,,,,,,
,06/01/2020,16:28:21,Card payment,,,Advertising,-30.27,GBP,-30.27,GBP,,,,,,,
,06/01/2020,11:47:23,Card payment,,,Deliveries,6.77,GBP,6.77,GBP,,,,,,,
,06/01/2020,14:30:52,Card payment,,,Ingredients,-25.91,GBP,-25.91,GBP,,,,,,,
,06/01/2020,14:37:36,Card payment,,,Tips,23.49,GBP,23.49,GBP,,,,,,,
,06/01/2020,11:28:12,Card payment,,,Tips,19.57,GBP,19.57,GBP,,,,,,,
,06/01/2020,15:48:06,Card payment,,,Deliveries,25.44,GBP,25.44,GBP,,,,,,,
,06/01/2020,10:19:51,Card payment,,,Deliveries,19.82,GBP,19.82,GBP,,,,,,,
,07/01/2020,10:17:15,Card payment,,,Deliveries,11.94,GBP,11.94,GBP,,,,,,,
,07/01/2020,13:46:05,Card payment,,,Advertising,-18.32,GBP,-18.32,GBP,,,,,,,
,07/01/2020,16:08:06,Card payment,,,Tips,27.36,GBP,27.36,GBP,,,,,,,
,07/01/2020,14:15:55,Card payment,,,Tips,16.74,GBP,16.74,GBP,,,,,,,
,07/01/2020,15:58:56,Card payment,,,Ingredients,-18.54,GBP,-18.54,GBP,,,,,,,
,07/01/2020,13:19:46,Card payment,,,Deliveries,25.15,GBP,25.15,GBP,,,,,,,
,07/01/2020,09:46:05,Card payment,,,Fuel & Maintainence,-18.79,GBP,-18.79,GBP,,,,,,,
,07/01/2020,09:09:21,Card payment,,,Deliveries,12.80,GBP,12.80,GBP,,,,,,,
