,Transaction ID,Date,Time,Type,Name,Emoji,Category,Amount,Currency,Local amount,Local currency,Notes and #tags,Address,Receipt,Description,Category split,Money Out,Money In
0,,2020-01-01,,,,,Labor & Benefits Cost,-207.46,GDP,-207.46,GDP,,,,,,,
1,,2020-01-01,,,,,Store,25.04,GDP,25.04,GDP,,,,,,,
2,,2020-01-01,,,,,Hair Services,13.08,GDP,13.08,GDP,,,,,,,
3,,2020-01-01,,,,,Hair Services,26.43,GDP,26.43,GDP,,,,,,,
4,,2020-01-01,,,,,Tips,23.3,GDP,23.3,GDP,,,,,,,
5,,2020-01-01,,,,,Hair Services,17.44,GDP,17.44,GDP,,,,,,,
6,,2020-01-01,,,,,Tips,15.94,GDP,15.94,GDP,,,,,,,
7,,2020-01-01,,,,,Hair Services,12.79,GDP,12.79,GDP,,,,,,,
8,,2020-01-01,,,,,Hair Services,19.16,GDP,19.16,GDP,,,,,,,
9,,2020-01-01,,,,,Hair Services,17.9,GDP,17.9,GDP,,,,,,,
10,,2020-01-01,,,,,Hair Services,14.42,GDP,14.42,GDP,,,,,,,
11,,2020-01-01,,,,,Hair Services,23.83,GDP,23.83,GDP,,,,,,,
12,,2020-01-01,,,,,Hair Services,20.53,GDP,20.53,GDP,,,,,,,
13,,2020-01-02,,,,,Store,21.69,GDP,21.69,GDP,,,,,,,
14,,2020-01-02,,,,,Hair Services,11.97,GDP,11.97,GDP,,,,,,,
15,,2020-01-02,,,,,Inventory,-180.35,GDP,-180.35,GDP,,,,,,,
16,,2020-01-02,,,,,Hair Services,25.04,GDP,25.04,GDP,,,,,,,
17,,2020-01-02,,,,,Hair Services,12.19,GDP,12.19,GDP,,,,,,,
18,,2020-01-02,,,,,Hair Services,13.15,GDP,13.15,GDP,,,,,,,
19,,2020-01-02,,,,,Hair Services,25.55,GDP,25.55,GDP,,,,,,,
20,,2020-01-02,,,,,Hair Services,17.64,GDP,17.64,GDP,,,,,,,
21,,2020-01-02,,,,,Hair Services,16.14,GDP,16.14,GDP,,,,,,,
22,,2020-01-02,,,,,Store,25.54,GDP,25.54,GDP,,,,,,,
23,,2020-01-02,,,,,Hair Services,23.76,GDP,23.76,GDP,,,,,,,
