,Unnamed: 0,Transaction ID,Date,Time,Type,Name,Emoji,Category,Amount,Currency,Local amount,Local currency,Notes and #tags,Address,Receipt,Description,Category split,Money Out,Money In
0,0,,2020-01-01,,,,,Rent and Utilities,-282.34,GDP,-282.33898000000005,GDP,,,,,,,
1,1,,2020-01-01,,,,,Tips,19.87,GDP,19.870240000000006,GDP,,,,,,,
2,2,,2020-01-01,,,,,Sales,21.87,GDP,21.87432,GDP,,,,,,,
3,3,,2020-01-01,,,,,Tips,28.86,GDP,28.856620000000003,GDP,,,,,,,
4,4,,2020-01-01,,,,,Sales,17.56,GDP,17.55702,GDP,,,,,,,
5,5,,2020-01-01,,,,,Sales,5.81,GDP,5.8097,GDP,,,,,,,
6,6,,2020-01-01,,,,,Sales,5.55,GDP,5.55386,GDP,,,,,,,
7,7,,2020-01-01,,,,,Sales,32.7,GDP,32.704879999999996,GDP,,,,,,,
8,8,,2020-01-01,,,,,Sales,7.78,GDP,7.7818,GDP,,,,,,,
9,9,,2020-01-01,,,,,Sales,7.02,GDP,7.024939999999999,GDP,,,,,,,
10,10,,2020-01-01,,,,,Tips,32.69,GDP,32.69422,GDP,,,,,,,
11,11,,2020-01-01,,,,,Sales,15.96,GDP,15.95802,GDP,,,,,,,
12,12,,2020-01-01,,,,,Sales,33.14,GDP,33.141940000000005,GDP,,,,,,,
13,13,,2020-01-01,,,,,Sales,5.94,GDP,5.937620000000001,GDP,,,,,,,
14,14,,2020-01-01,,,,,Sales,32.49,GDP,32.49168,GDP,,,,,,,
15,15,,2020-01-01,,,,,Tips,36.93,GDP,36.92624,GDP,,,,,,,
16,16,,2020-01-01,,,,,Sales,30.39,GDP,30.391659999999998,GDP,,,,,,,
17,17,,2020-01-01,,,,,Sales,33.2,GDP,33.195240000000005,GDP,,,,,,,
18,18,,2020-01-01,,,,,Sales,6.34,GDP,6.342700000000002,GDP,,,,,,,
19,19,,2020-01-01,,,,,Sales,31.48,GDP,31.478980000000004,GDP,,,,,,,
20,20,,2020-01-01,,,,,Labor & Benefits Cost,-274.34,GDP,-274.34022000000004,GDP,,,,,,,
21,21,,2020-01-01,,,,,Sales,18.48,GDP,18.48444,GDP,,,,,,,
22,22,,2020-01-01,,,,,Sales,22.11,GDP,22.10884,GDP,,,,,,,
23,23,,2020-01-01,,,,,Sales,35.32,GDP,35.31658,GDP,,,,,,,
24,24,,2020-01-01,,,,,Sales,14.0,GDP,13.996580000000002,GDP,,,,,,,
25,25,,2020-01-01,,,,,Sales,31.7,GDP,31.702840000000002,GDP,,,,,,,
26,26,,2020-01-01,,,,,Sales,35.73,GDP,35.73232000000001,GDP,,,,,,,
27,27,,2020-01-01,,,,,Sales,15.54,GDP,15.542280000000002,GDP,,,,,,,
28,28,,2020-01-01,,,,,Sales,11.44,GDP,11.43818,GDP,,,,,,,
29,29,,2020-01-01,,,,,Sales,36.12,GDP,36.11608,GDP,,,,,,,
30,30,,2020-01-01,,,,,Sales,27.53,GDP,27.534779999999998,GDP,,,,,,,
31,31,,2020-01-01,,,,,Sales,13.98,GDP,13.97526,GDP,,,,,,,
32,32,,2020-01-01,,,,,Sales,9.6,GDP,9.60466,GDP,,,,,,,
33,33,,2020-01-01,,,,,Sales,28.29,GDP,28.29164,GDP,,,,,,,
34,34,,2020-01-01,,,,,Sales,29.54,GDP,29.538860000000003,GDP,,,,,,,
35,35,,2020-01-01,,,,,Tips,5.7,GDP,5.7031,GDP,,,,,,,
36,36,,2020-01-01,,,,,Sales,11.66,GDP,11.66204,GDP,,,,,,,
37,37,,2020-01-01,,,,,Sales,27.91,GDP,27.90788,GDP,,,,,,,
38,38,,2020-01-01,,,,,Sales,18.66,GDP,18.655,GDP,,,,,,,
39,39,,2020-01-01,,,,,Sales,26.74,GDP,26.73528,GDP,,,,,,,
40,40,,2020-01-02,,,,,Food and Beverage Cost,-358.09,GDP,-358.0900400000001,GDP,,,,,,,
41,41,,2020-01-02,,,,,Sales,8.39,GDP,8.389420000000001,GDP,,,,,,,
42,42,,2020-01-02,,,,,Sales,17.88,GDP,17.876820000000006,GDP,,,,,,,
43,43,,2020-01-02,,,,,Sales,19.25,GDP,19.25196,GDP,,,,,,,
44,44,,2020-01-02,,,,,Sales,6.08,GDP,6.076200000000001,GDP,,,,,,,
45,45,,2020-01-02,,,,,Sales,26.43,GDP,26.426140000000004,GDP,,,,,,,
46,46,,2020-01-02,,,,,Sales,17.72,GDP,17.716920000000005,GDP,,,,,,,
47,47,,2020-01-02,,,,,Tips,14.9,GDP,14.902680000000002,GDP,,,,,,,
48,48,,2020-01-02,,,,,Sales,35.87,GDP,35.8709,GDP,,,,,,,
49,49,,2020-01-02,,,,,Sales,13.23,GDP,13.22906,GDP,,,,,,,
50,50,,2020-01-02,,,,,Tips,7.36,GDP,7.3554,GDP,,,,,,,
51,51,,2020-01-02,,,,,Sales,9.0,GDP,8.99704,GDP,,,,,,,
52,52,,2020-01-02,,,,,Sales,15.17,GDP,15.169179999999999,GDP,,,,,,,
53,53,,2020-01-02,,,,,Sales,28.22,GDP,28.21702,GDP,,,,,,,
54,54,,2020-01-02,,,,,Sales,29.95,GDP,29.954600000000006,GDP,,,,,,,
55,55,,2020-01-02,,,,,Sales,18.18,GDP,18.1753,GDP,,,,,,,
56,56,,2020-01-02,,,,,Sales,14.52,GDP,14.518920000000001,GDP,,,,,,,
57,57,,2020-01-02,,,,,Sales,7.31,GDP,7.312760000000001,GDP,,,,,,,
58,58,,2020-01-02,,,,,Sales,36.99,GDP,36.9902,GDP,,,,,,,
59,59,,2020-01-02,,,,,Sales,5.58,GDP,5.5751800000000005,GDP,,,,,,,
60,60,,2020-01-02,,,,,Rent and Utilities,-287.7,GDP,-287.69664,GDP,,,,,,,
61,61,,2020-01-02,,,,,Sales,33.4,GDP,33.39778,GDP,,,,,,,
62,62,,2020-01-02,,,,,Sales,9.91,GDP,9.913800000000002,GDP,,,,,,,
63,63,,2020-01-02,,,,,Tips,36.88,GDP,36.8836,GDP,,,,,,,
64,64,,2020-01-02,,,,,Sales,12.76,GDP,12.760019999999999,GDP,,,,,,,
65,65,,2020-01-02,,,,,Sales,19.48,GDP,19.47582,GDP,,,,,,,
66,66,,2020-01-02,,,,,Sales,12.74,GDP,12.7387,GDP,,,,,,,
67,67,,2020-01-02,,,,,Sales,9.49,GDP,9.4874,GDP,,,,,,,
68,68,,2020-01-02,,,,,Sales,26.82,GDP,26.820559999999997,GDP,,,,,,,
69,69,,2020-01-02,,,,,Sales,15.89,GDP,15.89406,GDP,,,,,,,
70,70,,2020-01-02,,,,,Sales,14.89,GDP,14.892020000000002,GDP,,,,,,,
71,71,,2020-01-02,,,,,Sales,34.05,GDP,34.04804,GDP,,,,,,,
72,72,,2020-01-02,,,,,Sales,30.3,GDP,30.295720000000006,GDP,,,,,,,
73,73,,2020-01-02,,,,,Sales,12.15,GDP,12.152400000000002,GDP,,,,,,,
74,74,,2020-01-02,,,,,Sales,20.91,GDP,20.91492,GDP,,,,,,,
75,75,,2020-01-02,,,,,Sales,17.06,GDP,17.055999999999997,GDP,,,,,,,
76,76,,2020-01-02,,,,,Sales,13.24,GDP,13.239720000000002,GDP,,,,,,,
77,77,,2020-01-02,,,,,Sales,25.74,GDP,25.7439,GDP,,,,,,,
78,78,,2020-01-02,,,,,Sales,27.59,GDP,27.588079999999998,GDP,,,,,,,
79,79,,2020-01-02,,,,,Sales,26.58,GDP,26.575380000000006,GDP,,,,,,,
80,80,,2020-01-02,,,,,Food and Beverage Cost,-267.3,GDP,-267.30088,GDP,,,,,,,
81,81,,2020-01-02,,,,,Sales,12.98,GDP,12.98388,GDP,,,,,,,
82,82,,2020-01-02,,,,,Sales,6.09,GDP,6.0868600000000015,GDP,,,,,,,
83,83,,2020-01-02,,,,,Sales,22.49,GDP,22.492600000000003,GDP,,,,,,,
84,84,,2020-01-02,,,,,Sales,7.28,GDP,7.280780000000001,GDP,,,,,,,
85,85,,2020-01-02,,,,,Sales,13.12,GDP,13.122460000000002,GDP,,,,,,,
86,86,,2020-01-02,,,,,Sales,29.45,GDP,29.45358,GDP,,,,,,,
87,87,,2020-01-03,,,,,Sales,5.6,GDP,5.596500000000002,GDP,,,,,,,
